"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","TRADEGOOD","IMP","PC_CHGPP","A","2013",1.626792,
"CHE","TRADEGOOD","IMP","PC_CHGPP","A","2014",1.983782,
"CHE","TRADEGOOD","IMP","PC_CHGPP","A","2015",-11.63535,
"CHE","TRADEGOOD","IMP","PC_CHGPP","A","2016",1.992399,
"CHE","TRADEGOOD","IMP","PC_CHGPP","A","2017",7.422674,
"CHE","TRADEGOOD","IMP","PC_CHGPP","A","2018",9.079756,
"CHE","TRADEGOOD","IMP","PC_CHGPP","A","2019",-0.01010738,
"CHE","TRADEGOOD","IMP","PC_CHGPP","A","2020",-6.196361,
"TUR","TRADEGOOD","IMP","PC_CHGPP","A","2008",19.25973,
"TUR","TRADEGOOD","IMP","PC_CHGPP","A","2009",-30.62755,
