"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","TRADEGOOD","EXP","PC_CHGPP","A","2010",11.88643,
"NOR","TRADEGOOD","EXP","PC_CHGPP","A","2011",23.30239,
"NOR","TRADEGOOD","EXP","PC_CHGPP","A","2012",-0.2779648,
"NOR","TRADEGOOD","EXP","PC_CHGPP","A","2013",-2.680658,
"NOR","TRADEGOOD","EXP","PC_CHGPP","A","2014",-7.336243,
"NOR","TRADEGOOD","EXP","PC_CHGPP","A","2015",-28.08395,
"NOR","TRADEGOOD","EXP","PC_CHGPP","A","2016",-14.1306,
"NOR","TRADEGOOD","EXP","PC_CHGPP","A","2017",17.11637,
"NOR","TRADEGOOD","EXP","PC_CHGPP","A","2018",17.64694,
"NOR","TRADEGOOD","EXP","PC_CHGPP","A","2019",-15.55319,
"NOR","TRADEGOOD","EXP","PC_CHGPP","A","2020",-20.38364,
"POL","TRADEGOOD","EXP","PC_CHGPP","A","2008",21.26198,
"POL","TRADEGOOD","EXP","PC_CHGPP","A","2009",-19.8719,
"POL","TRADEGOOD","EXP","PC_CHGPP","A","2010",16.8726,
"POL","TRADEGOOD","EXP","PC_CHGPP","A","2011",18.49433,
"POL","TRADEGOOD","EXP","PC_CHGPP","A","2012",-1.771404,
"POL","TRADEGOOD","EXP","PC_CHGPP","A","2013",10.32105,
"POL","TRADEGOOD","EXP","PC_CHGPP","A","2014",7.277539,
"POL","TRADEGOOD","EXP","PC_CHGPP","A","2015",-9.516382,
"POL","TRADEGOOD","EXP","PC_CHGPP","A","2016",2.535565,
"POL","TRADEGOOD","EXP","PC_CHGPP","A","2017",14.85925,
"POL","TRADEGOOD","EXP","PC_CHGPP","A","2018",12.30659,
"POL","TRADEGOOD","EXP","PC_CHGPP","A","2019",1.099161,
"POL","TRADEGOOD","EXP","PC_CHGPP","A","2020",2.536402,
"PRT","TRADEGOOD","EXP","PC_CHGPP","A","2008",8.695753,
"PRT","TRADEGOOD","EXP","PC_CHGPP","A","2009",-22.49019,
"PRT","TRADEGOOD","EXP","PC_CHGPP","A","2010",11.61274,
"PRT","TRADEGOOD","EXP","PC_CHGPP","A","2011",21.15184,
"PRT","TRADEGOOD","EXP","PC_CHGPP","A","2012",-3.022815,
"PRT","TRADEGOOD","EXP","PC_CHGPP","A","2013",8.744338,
"PRT","TRADEGOOD","EXP","PC_CHGPP","A","2014",1.536879,
"PRT","TRADEGOOD","EXP","PC_CHGPP","A","2015",-13.97711,
"PRT","TRADEGOOD","EXP","PC_CHGPP","A","2016",0.5723752,
"PRT","TRADEGOOD","EXP","PC_CHGPP","A","2017",12.75502,
"PRT","TRADEGOOD","EXP","PC_CHGPP","A","2018",9.640943,
